name,assetTag,category,manufacturer,model,serialNumber,status,condition,location,department,supplier,purchaseDate,warrantyExpiry,notes
"HP note Book 250 G8","WHHWK DCARFX8PP","Laptop","HP","note Book 250 G8","WHHWK DCARFX8PP","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: "
"Aspire E5-571P","NXMMSAA012442124453400","Laptop","Aspire","E5-571P","NXMMSAA012442124453400","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: "
"HP 250 G8","CND1468XCF","Laptop","HP","250 G8","CND1468XCF","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: "
"HP 250 G8","CND14686B8","Laptop","HP","250 G8","CND14686B8","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: "
"HP note Book 250 G8","WHHWK/DCARFX803","Laptop","HP","note Book 250 G8","WHHWK/DCARFX803","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: "
"LENAVO 80XL","PF0WZM1Q","Laptop","LENAVO","80XL","PF0WZM1Q","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: "
"HP 225 G8 Not book","CND14671N9","Laptop","HP","225 G8 Not book","CND14671N9","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: OCDDfrSAM"
"HP 225 G8 Not book","CND1468699","Laptop","HP","225 G8 Not book","CND1468699","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: "
"HP ProBook 450 G7","5CD1072RM5","Laptop","HP","ProBook 450 G7","5CD1072RM5","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: F240061328010047"
"HP ProBook 250 Note Book","CND1468XQH","Laptop","HP","ProBook 250 Note Book","CND1468XQH","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: "
"HP ProBook 440 G7","5CD034lC6X","Laptop","HP","ProBook 440 G7","5CD034lC6X","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: "
"HP ProBook 250 G8","CND1468X2Z","Laptop","HP","ProBook 250 G8","CND1468X2Z","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: "
"HP 250 G8 Not book","CND1468Y18","Laptop","HP","250 G8 Not book","CND1468Y18","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: WHGRLODGMFTX82"
"ASUSX509L","L4WOCX06U74916C","Laptop","ASUSX509L","ASUSX509L","L4WOCX06U74916C","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: "
"HP 250 G8 Not book","CND14686HW","Laptop","HP","250 G8 Not book","CND14686HW","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: WHGRLODGMFTKBO"
"HP 250 G8 Not book","CND1468X22","Laptop","HP","250 G8 Not book","CND1468X22","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: WHGRLODGMFTY12"
"HP Noteboook 250 G1","5CG33949DR","Laptop","HP","Noteboook 250 G1","5CG33949DR","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: F12941025009524"
"AsusTek X555LA","ECN0CV613458527","Laptop","AsusTek","X555LA","ECN0CV613458527","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: 130543 - 11"
"Dell Inc. Inspiron","HH7JC33","Laptop","Dell","Inc. Inspiron","HH7JC33","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: CN - 0G6J41 - CH600 - 9CC - 01IS - A07"
"Acer Aspire E5-571p","NXMMSAA012443017DF3400","Laptop","Acer","Aspire E5-571p","NXMMSAA012443017DF3400","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: 8201311688AS"
"Lenavo","80XL","Laptop","Lenavo","Lenavo","80XL","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: PFQ1NKW"
"HP 225 G8 Not book","CND1466XMN","Laptop","HP","225 G8 Not book","CND1466XMN","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: OCnDfws94"
"HP Notebook","CND7070CSY","Laptop","HP","Notebook","CND7070CSY","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: CT: WDUUTOBM19RTUO"
"LENOVO 80XL","PFOWZMIO","Laptop","LENOVO","80XL","PFOWZMIO","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: 855A10M42790CLSG79B0RT8"
"HP ProBook 450 G7","5CD0493GXL","Laptop","HP","ProBook 450 G7","5CD0493GXL","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: CT : WHHWL OAARE37CB"
"HP ProBook 450 G8","CND61236PW","Laptop","HP","ProBook 450 G8","CND61236PW","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: CT: WDWRTOBAR9U40Q"
"Aspire E5-576","NXGRYSG0048410E4067600","Laptop","Aspire","E5-576","NXGRYSG0048410E4067600","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: F258351841023665"
"Dell Aspire A515-53","NXH6FSG005849074C26600","Laptop","Dell","Aspire A515-53","NXH6FSG005849074C26600","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: F258351841027554"
"ASUS","X509JA","Laptop","ASUS","ASUS","X509JA","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: L4NOCXU74916C"
"DELL P75F001","380GTW2","Laptop","DELL","P75F001","380GTW2","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: "
"Dell Insprion","HSWC33","Laptop","Dell","Insprion","HSWC33","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: "
"HP ProBook 440 G 7","5DCOXLW","Laptop","HP","ProBook 440 G 7","5DCOXLW","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: "
"Lenovo","80XL PFOU2CG5","Laptop","Lenovo","Lenovo","80XL PFOU2CG5","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: "
"Inspiron5570","380gtw2","Laptop","Inspiron5570","Inspiron5570","380gtw2","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: "
"Insprion3593","Insprion3593","Laptop","Insprion3593","Insprion3593","Insprion3593","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: h5whc33"
"HP ProBook 440 G7","5CD034LC8B","Laptop","HP","ProBook 440 G7","5CD034LC8B","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: WHGRE0A3GDZMWT"
"HP ProBook 450","5CG412F653","Laptop","HP","ProBook 450","5CG412F653","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: "
"HP 250 G8 Notbook","CND1468690","Laptop","HP","250 G8 Notbook","CND1468690","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: OCM1FW101"
"HP Probook 440 G10","5CD42298SN","Laptop","HP","Probook 440 G10","5CD42298SN","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: "
"HP 250 G8","CND1468XHP","Laptop","HP","250 G8","CND1468XHP","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: Yes"
"HP ProBook 440 G 7","5CD034LC7G","Laptop","HP","ProBook 440 G 7","5CD034LC7G","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: CT-WHGRLOBVSDV3CA"
"HP Probook 440 G10","5CD42298RB","Laptop","HP","Probook 440 G10","5CD42298RB","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: "
"Aspire E5-576","NXGRYSG0048410E4FF7600","Laptop","Aspire","E5-576","NXGRYSG0048410E4FF7600","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: "
"HP ProBook 440 G 7","WHHWLOAARE371D","Laptop","HP","ProBook 440 G 7","WHHWLOAARE371D","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: "
"Dell Inc. Inspiron","88R2BV1","Laptop","Dell","Inc. Inspiron","88R2BV1","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: CN-OJNKWD-72438-SAK-A5F6-A03"
"Acer Aspire E5-576","XNXGRSSGOO88031DF3D760","Laptop","Acer","Aspire E5-576","XNXGRSSGOO88031DF3D760","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: 43BW76C1008N15"
"HP Notebook","CND7070CDS","Laptop","HP","Notebook","CND7070CDS","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: CT : WFTLCOA1RS4LGZ"
"80XL","PFOWOQ4T","Laptop","80XL","80XL","PFOWOQ4T","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: PA-1405-CLE-BEANOVE"
"HP 250 G8","CND 1468690","Laptop","HP","250 G8","CND 1468690","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: "
"HP Probook G3","JPH7215FT7","Laptop","HP","Probook G3","JPH7215FT7","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: Yes"
"HP Probook 440 G10","5CD42298WY","Laptop","HP","Probook 440 G10","5CD42298WY","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: "
"Hp laptop I5s-f95xxx","SCD248CFx8","Laptop","Hp","laptop I5s-f95xxx","SCD248CFx8","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: "
"Hp 255 G8 Notbook PC","CND1466XLD","Laptop","Hp","255 G8 Notbook PC","CND1466XLD","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: "
"HP ProBook 440 G 10","989F7EA#BH5","Laptop","HP","ProBook 440 G 10","989F7EA#BH5","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: yes"
"Aser Aspire 515","NXH5FSG0058409084908A816600","Laptop","Aser","Aspire 515","NXH5FSG0058409084908A816600","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: "
"HP ProBook 450","5CD0286F9J","Laptop","HP","ProBook 450","5CD0286F9J","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: ADP-4SFE FA DCWP CM - 2"
"LENOVO 81DE","PF1HMT1K","Laptop","LENOVO","81DE","PF1HMT1K","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: 15-11EL-N"
"Hp Pavililion G6 note book","5CD2119RGV","Laptop","Hp","Pavililion G6 note book","5CD2119RGV","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: 06TMIC-72438-340-AOFE-A01"
"ASUS TX541UAK","H4NOCX18N38317A","Laptop","ASUS","TX541UAK","H4NOCX18N38317A","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: "
"HP ProBook 450","5CD0493H37","Laptop","HP","ProBook 450","5CD0493H37","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: CT: WHHWL OAARE37GX"
"Lonovo 80XL","PF0VHR2M","Laptop","Lonovo","80XL","PF0VHR2M","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: "
"HP 250 GB","CND1466XM9","Laptop","HP","250 GB","CND1466XM9","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: "
"HP 255 G8","CND1466XQY","Laptop","HP","255 G8","CND1466XQY","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: "
"Hp ProBook 450","5CD0493GYZ","Laptop","Hp","ProBook 450","5CD0493GYZ","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: "
"20052017 LENOVO","20052017 LENOVO","Laptop","20052017","LENOVO","20052017 LENOVO","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: 8SSA10A427QOC15G79BORV6"
"HP Notebook","CND7070CKL","Laptop","HP","Notebook","CND7070CKL","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: WFTLCOA5R5T07"
"Aspire Es-576 Series","NXGRSSGOO88031DE3D7600","Laptop","Aspire","Es-576 Series","NXGRSSGOO88031DE3D7600","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: F25835184102S665"
"Lenovo 81 DE","PF1HN8TN","Laptop","Lenovo","81 DE","PF1HN8TN","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: 855A10M42734L1CZ78YOYNR"
"Lenovo 80XL","PF0W0Q4T","Laptop","Lenovo","80XL","PF0W0Q4T","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: "
"Lenovo 80XL","PF0U1NKW","Laptop","Lenovo","80XL","PF0U1NKW","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: SA10M42768"
"Acer Aspire E5-576","NXGRYSG0048410E5C57600","Laptop","Acer","Aspire E5-576","NXGRYSG0048410E5C57600","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: "
"PF0W0BVN","LENOVO 80XL","Laptop","PF0W0BVN","PF0W0BVN","LENOVO 80XL","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: 8SSALOM42790C1SG79BORSY"
"Aspire E5-576 Series","NXGRYSG0048410E5C5","Laptop","Aspire","E5-576 Series","NXGRYSG0048410E5C5","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: KP045030107510129DPE02"
"Acre Aspire E5-576","NXGRSSG008831DE3D7600","Laptop","Acre","Aspire E5-576","NXGRSSG008831DE3D7600","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: "
"Hp pavilion Aero","8CG43637Z5","Laptop","Hp","pavilion Aero","8CG43637Z5","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: "
"Hp probook 440 G7","5CD034LCX","Laptop","Hp","probook 440 G7","5CD034LCX","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: "
"HP ProBook 440 G7","5CD1072RLB","Laptop","HP","ProBook 440 G7","5CD1072RLB","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: "
"HP ProBook 440 G7","#5CD120-NSMY","Laptop","HP","ProBook 440 G7","#5CD120-NSMY","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: "
"HP ProBook 440 G7","5CD0335K7S","Laptop","HP","ProBook 440 G7","5CD0335K7S","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: CT - WHHRE0A5RDX3AY"
"Hp ProBook 450g3","JPH805YVN5","Laptop","Hp","ProBook 450g3","JPH805YVN5","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: "
"hp ProBook 450 G8","5CD127GZN11","Laptop","hp","ProBook 450 G8","5CD127GZN11","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: "
"HP Pro Book 440G7","5CD034LC74","Laptop","HP","Pro Book 440G7","5CD034LC74","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: CT-WHHGRE0ARLD26F9"
"Acer - Aspire A515-53","NXH6FSG005849075406600","Laptop","Acer","- Aspire A515-53","NXH6FSG005849075406600","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: "
"Lenovo 81DE","PF16QSE4","Laptop","Lenovo","81DE","PF16QSE4","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: 855A10M42790C1SG96MOS6L"
"HP ProBook 440 G7","5CD034LC6S","Laptop","HP","ProBook 440 G7","5CD034LC6S","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: "
"HP ProBook 440 G7","5CD034LC83","Laptop","HP","ProBook 440 G7","5CD034LC83","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: R-41014109"
"HP 255 G8 Notebook PC","WHGREOARLD26GO","Laptop","HP","255 G8 Notebook PC","WHGREOARLD26GO","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: 855A10M42790C1SG96MOS6L"
"HP 255 G8 Notebook PC","OC nnEWSBO","Laptop","HP","255 G8 Notebook PC","OC nnEWSBO","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: "
"Acer-A515-53-3525","VIXH6fS8440762B6600","Laptop","Acer-A515-53-3525","Acer-A515-53-3525","VIXH6fS8440762B6600","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: 145723123456"
"Asprie E5 - 578 Series","NXGRYSG004841OE4FF7600","Laptop","Asprie","E5 - 578 Series","NXGRYSG004841OE4FF7600","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: "
"Lenavo","PFOWZM7Q","Laptop","Lenavo","Lenavo","PFOWZM7Q","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: "
"HP Pro Book 440 G8","5CD124NL0R","Laptop","HP","Pro Book 440 G8","5CD124NL0R","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: WHRRHODGCF85BN"
"HP Pro Book 440 G8","5CD120NSMS","Laptop","HP","Pro Book 440 G8","5CD120NSMS","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: WHHREOA5RDX125"
"HP Pro Book 450 G8","5CD120NSMY","Laptop","HP","Pro Book 450 G8","5CD120NSMY","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: "
"Lenovo Ideapad 330 151KB","PFIHMTIK","Laptop","Lenovo","Ideapad 330 151KB","PFIHMTIK","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: SA10M42530"
"HP - Premier Experience - gb","00192-047-357-720","Laptop","HP","- Premier Experience - gb","00192-047-357-720","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: 06TMIC-72438-340-AOFE-AOI"
"Asus A541U","H4NOCX18N289178","Laptop","Asus","A541U","H4NOCX18N289178","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: AD 883220"
"VivoBook_ASUSLaptop X509JA_X509JA","L4N0CX06U74916C","Laptop","VivoBook_ASUSLaptop","X509JA_X509JA","L4N0CX06U74916C","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: R-4101415 ASUAS"
"HP Pro Book 440 G8","SGH239PLN9","Laptop","HP","Pro Book 440 G8","SGH239PLN9","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: "
"HP Pro Book 450 G8","5CD120NSLS","Laptop","HP","Pro Book 450 G8","5CD120NSLS","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: "
"HP Pro Book 440G7","5CD1072RL8","Laptop","HP","Pro Book 440G7","5CD1072RL8","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: CT-WHHWKOBARELEQO"
"HP Note Book 250 G8","5t","Laptop","HP","Note Book 250 G8","5t","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: CT-WHGRLODGMFTXCC"
"HP Probook 440 G10","5CD42298RR","Laptop","HP","Probook 440 G10","5CD42298RR","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: "
"HP Probook 450 G8","5CD12ONSMY","Laptop","HP","Probook 450 G8","5CD12ONSMY","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: "
"HP 15 - FDOO44NQ","1H8446258S","Laptop","HP","15 - FDOO44NQ","1H8446258S","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: Yes"
"LENOVO 81N8","MP1LTTA","Laptop","LENOVO","81N8","MP1LTTA","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: 855A10M4274C15G96H0KJ3"
"asus x54iuak","H4N9CX18N28117B","Laptop","asus","x54iuak","H4N9CX18N28117B","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: AD883220"
"Aser Aspire E5-571P","MXMMSAAO12443014E03400","Laptop","Aser","Aspire E5-571P","MXMMSAAO12443014E03400","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: KP040010034350070E0P100"
"Lenovo 80XL","PFOQ4T","Laptop","Lenovo","80XL","PFOQ4T","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: 8SS10M42790C15G79B0R5V"
"LENOVO80XL","PF0W0BVN","Laptop","LENOVO80XL","LENOVO80XL","PF0W0BVN","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: SA10M2790"
"hp notebook 15-ac151dx","CNDSS04GXG","Laptop","hp","notebook 15-ac151dx","CNDSS04GXG","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: CT:WFTLCOASR55TD2"
"Dell Inspiron 3520","DSPBHW1","Laptop","Dell","Inspiron 3520","DSPBHW1","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: "
"HP 250 G8 Notebook PC","CND14686BB","Laptop","HP","250 G8 Notebook PC","CND14686BB","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: "
"HP Note Book 250 G8","CND1468XKN","Laptop","HP","Note Book 250 G8","CND1468XKN","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: WHGRLODGMFTXY6"
"Aspire A515-53","nxh6fsgoo5849074c26600","Laptop","Aspire","A515-53","nxh6fsgoo5849074c26600","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: "
"HP ENVY TS m6 sleek book","CND3440YSR","Laptop","HP","ENVY TS m6 sleek book","CND3440YSR","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: "
