name,assetTag,category,manufacturer,model,serialNumber,status,condition,location,department,supplier,notes
"Hp Probook 445 G8","5CD2135534","Laptop","Hp","Probook 445 G8","5CD2135534","available","good","Main Office","IT Division","Unknown Supplier","Charger S/N: "
"Hp probook 450 G8","5CD1072RRT","Laptop","Hp","probook 450 G8","5CD1072RRT","available","good","Main Office","IT Division","Unknown Supplier","Charger S/N: "
"HP Pavilion 15-cs3xxx","5CD05098LC","Laptop","HP","Pavilion 15-cs3xxx","5CD05098LC","available","good","Main Office","IT Division","Unknown Supplier","Charger S/N: "
"Aspire A515-53","NXH6FSG0058490762B6600","Laptop","Aspire","A515-53","NXH6FSG0058490762B6600","available","good","Main Office","IT Division","Unknown Supplier","Charger S/N: "
"Hp Probook 450 G3","JPH751VHQK","Laptop","Hp","Probook 450 G3","JPH751VHQK","available","good","Main Office","IT Division","Unknown Supplier","Charger S/N: "
